ppg,timer
2688440,10:48:26.647
2688649,10:48:26.743
2689034,10:48:26.843
2690511,10:48:26.945
2692241,10:48:27.043
2686305,10:48:27.143
2682570,10:48:27.257
2683052,10:48:27.344
2684095,10:48:27.444
2685803,10:48:27.547
2688505,10:48:27.660
2684396,10:48:27.744
2679693,10:48:27.846
2679727,10:48:27.946
2681228,10:48:28.045
2682848,10:48:28.148
2686341,10:48:28.247
2689883,10:48:28.345
2685843,10:48:28.446
2682259,10:48:28.546
2683168,10:48:28.647
2685218,10:48:28.747
2687571,10:48:28.846
2691192,10:48:28.946
2695941,10:48:29.051
2696804,10:48:29.148
2692911,10:48:29.247
2692239,10:48:29.348
2693800,10:48:29.448
2696036,10:48:29.545
2699539,10:48:29.649
2699949,10:48:29.746
2710602,10:48:29.846
2718215,10:48:29.947
2722625,10:48:30.046
2727511,10:48:30.146
2730635,10:48:30.248
2734347,10:48:30.358
2738518,10:48:30.446
2740613,10:48:30.551
2741580,10:48:30.650
2737742,10:48:30.749
2738367,10:48:30.850
2741120,10:48:30.950
2745469,10:48:31.059
2750439,10:48:31.151
2755553,10:48:31.251
2757740,10:48:31.351
2753887,10:48:31.451
2751122,10:48:31.550
2747030,10:48:31.650
2744694,10:48:31.751
2744105,10:48:31.853
2744449,10:48:31.951
2740370,10:48:32.051
2728775,10:48:32.150
2724123,10:48:32.250
2721323,10:48:32.351
2718928,10:48:32.451
2718416,10:48:32.551
2718959,10:48:32.651
2709022,10:48:32.751
2699243,10:48:32.851
2695531,10:48:32.952
2693737,10:48:33.051
2692164,10:48:33.151
2693261,10:48:33.252
2694001,10:48:33.352
2683940,10:48:33.451
2677148,10:48:33.557
2675703,10:48:33.653
2673745,10:48:33.755
2672115,10:48:33.853
2674459,10:48:33.954
2677717,10:48:34.054
2669884,10:48:34.154
2664947,10:48:34.254
2665859,10:48:34.354
2667242,10:48:34.454
2670233,10:48:34.554
2673931,10:48:34.656
2675144,10:48:34.755
2668011,10:48:34.854
2667238,10:48:34.955
2669707,10:48:35.056
2672125,10:48:35.156
2676131,10:48:35.271
2681832,10:48:35.357
2685832,10:48:35.455
2680660,10:48:35.556
2681684,10:48:35.656
2682718,10:48:35.755
2685780,10:48:35.856
2689045,10:48:35.957
