ppg,timer
1858144,10:55:31
1858110,10:55:32
1858171,10:55:32
1858193,10:55:32
1858122,10:55:32
1858182,10:55:32
1858217,10:55:32
1858184,10:55:32
1858196,10:55:32
1858152,10:55:32
1858196,10:55:32
1858179,10:55:33
1858169,10:55:33
1858215,10:55:33
1858130,10:55:33
1858088,10:55:33
1858231,10:55:33
1858189,10:55:33
1858228,10:55:33
1858156,10:55:33
1858202,10:55:33
1858188,10:55:34
1858239,10:55:34
1858244,10:55:34
1858150,10:55:34
1858206,10:55:34
1858179,10:55:34
1858128,10:55:34
1858227,10:55:34
1858184,10:55:34
1858203,10:55:34
1858293,10:55:35
1858263,10:55:35
1858201,10:55:35
1858211,10:55:35
1858138,10:55:35
1858253,10:55:35
1858198,10:55:35
1858187,10:55:35
1858163,10:55:35
1858292,10:55:35
1858191,10:55:36
1858241,10:55:36
1858073,10:55:36
1858231,10:55:36
1858226,10:55:36
1858161,10:55:36
1858194,10:55:36
1858173,10:55:36
1858187,10:55:36
1858242,10:55:36
1858175,10:55:37
1858166,10:55:37
1858178,10:55:37
1858204,10:55:37
1858200,10:55:37
1858150,10:55:37
1858254,10:55:37
1858176,10:55:37
1858223,10:55:37
1858242,10:55:37
1858273,10:55:38
1858338,10:55:38
1858249,10:55:38
1858250,10:55:38
1858223,10:55:38
1858263,10:55:38
1858227,10:55:38
1858194,10:55:38
1858167,10:55:38
1858219,10:55:38
1858273,10:55:39
1858184,10:55:39
1858307,10:55:39
1858211,10:55:39
1858291,10:55:39
1858224,10:55:39
1858166,10:55:39
1858262,10:55:39
1858235,10:55:39
1858243,10:55:39
1858102,10:55:40
1858390,10:56:40
1858325,10:56:40
1858260,10:56:40
1858353,10:56:40
1858381,10:56:40
1858357,10:56:41
1858381,10:56:41
1858352,10:56:41
1858364,10:56:41
1858403,10:56:41
1858373,10:56:41
1858359,10:56:41
1858391,10:56:41
1858351,10:56:41
1858381,10:56:41
1858358,10:56:42
1858372,10:56:42
1858308,10:56:42
1858242,10:56:42
1858412,10:56:42
1858319,10:56:42
1858372,10:56:42
1858342,10:56:42
1858372,10:56:42
1858414,10:56:42
1858341,10:56:43
1858302,10:56:43
1858349,10:56:43
1858445,10:56:43
1858412,10:56:43
1858316,10:56:43
1858356,10:56:43
1858366,10:56:43
1858407,10:56:43
1858366,10:56:43
1858217,10:56:44
1858326,10:56:44
1858371,10:56:44
1858269,10:56:44
1858302,10:56:44
1858397,10:56:44
1858384,10:56:44
